id,type,month,date,year
1,Volunteered,9,26,17
2,Volunteered,10,18,17
3,Volunteered,10,18,17
4,Drafted,10,29,17
5,Volunteered,9,24,17
6,Volunteered,2,18,18
7,Volunteered,12,10,17
8,Volunteered,10,24,17
9,Drafted,12,18,17
10,Drafted,4,2,18
11,Drafted,12,11,17
12,Drafted,11,30,17
13,Drafted,2,25,18
14,Drafted,11,30,17
15,Drafted,1,22,18
16,Drafted,11,30,17
17,Drafted,12,14,17
18,Drafted,12,22,17
19,Volunteered,12,14,17
20,Drafted,3,29,18
21,Drafted,12,18,17
22,Drafted,2,23,18
23,Regular Army,8,26,17
24,Drafted,4,29,18
25,Draft evader apprehended and delivered to military authority at Camp Lee 12/21/17,12,21,17
26,Drafted,12,24,17
27,Drafted,3,27,18
28,Drafted--Apprehended by Civil Authorities,3,29,18
29,Drafted,4,1,18
30,Volunteered,12,30,17
31,Drafted,3,30,18
32,Drafted,3,29,18
33,Drafted,3,30,18
34,Drafted,4,1,18
35,Drafted,4,2,18
36,Drafted,3,29,18
37,Drafted,4,2,18
38,Drafted,3,29,18
39,Drafted,3,30,18
40,Drafted,3,30,18
41,Drafted,3,29,18
42,Drafted,3,29,18
43,Drafted,3,29,18
44,Drafted,3,31,18
45,Drafted,3,28,18
46,Drafted,3,29,18
47,Drafted,4,1,18
48,Drafted,3,30,18
49,Drafted,3,29,18
50,Drafted,4,1,18
51,Drafted,4,2,18
52,Drafted,4,2,18
53,Drafted,3,31,18
54,Drafted,3,31,18
55,Drafted,3,29,18
56,Drafted,3,30,18
57,Drafted,3,31,18
58,Drafted,3,30,18
59,Drafted,3,30,18
60,Drafted,3,29,18
61,Drafted,3,29,18
62,Drafted,3,28,18
63,Drafted,3,29,18
64,Drafted,3,28,18
65,Drafted,3,28,18
66,Drafted,3,30,18
67,Drafted,3,29,18
68,Drafted,3,29,18
69,Drafted,3,30,18
70,Drafted,3,30,18
71,Drafted,3,29,18
72,Drafted,3,29,18
73,Drafted,3,30,18
74,Drafted,4,5,18
75,Drafted,3,29,18
76,Drafted,4,2,18
77,Drafted,4,2,18
78,Drafted,3,30,18
79,Drafted,3,27,18
80,Drafted,3,31,18
81,Drafted,4,2,18
82,Drafted,3,29,18
83,Drafted,3,27,18
84,Drafted,3,29,18
85,Drafted,3,29,18
86,Drafted,3,29,18
87,Drafted,3,29,18
88,Drafted,3,29,18
89,Drafted,3,29,18
90,Drafted,3,29,18
91,Drafted,3,29,18
92,Drafted,3,29,18
93,Drafted,3,29,18
94,Drafted,3,29,18
95,Drafted,3,29,18
96,Drafted,3,29,18
97,Drafted,3,30,18
98,Drafted,3,31,18
99,Drafted,3,31,18
100,Drafted,4,1,18
101,Drafted,4,1,18
102,Drafted,4,1,18
103,Drafted,4,1,18
104,Drafted,4,1,18
105,Drafted,4,1,18
106,Drafted,4,1,18
107,Drafted,4,1,18
108,Drafted,4,1,18
109,Drafted,4,2,18
110,Drafted,4,2,18
111,Drafted,4,2,18
112,Drafted,4,2,18
113,Drafted,4,2,18
114,Drafted,3,31,18
115,Drafted,3,30,18
116,Drafted,4,2,18
117,Drafted,4,1,18
118,Drafted,4,2,18
119,Drafted,3,30,18
120,Drafted,3,29,18
121,Drafted,3,29,18
122,Drafted,3,31,18
123,Drafted,4,2,18
124,Drafted,3,30,18
125,Drafted,3,30,18
126,Drafted,3,27,18
127,Drafted,3,29,18
128,Drafted,3,29,18
129,Drafted,3,29,18
130,Drafted,3,29,18
131,Drafted,3,29,18
132,Drafted,3,29,18
133,Drafted,3,30,18
134,Drafted,3,30,18
135,Drafted,3,30,18
136,Drafted,4,1,18
137,Drafted,4,2,18
138,Drafted,4,2,18
139,Drafted,3,29,18
140,Drafted,3,28,18
141,Drafted,3,29,18
142,Drafted,3,30,18
143,Drafted,3,30,18
144,Drafted,3,29,18
145,Drafted,4,1,18
146,Drafted,4,2,18
147,Drafted,4,1,18
148,Drafted,4,2,18
149,Drafted,3,27,18
150,Drafted,3,28,18
151,Drafted,3,29,18
152,Drafted,3,29,18
153,Drafted,3,30,18
154,Drafted,4,25,18
155,Drafted,3,30,18
156,Volunteered,5,18,18
157,Drafted,4,20,18
158,Drafted,5,2,18
159,Drafted,4,2,18
160,Drafted,4,14,18
161,Drafted,3,31,18
162,Drafted,5,9,18
163,Drafted,4,27,18
164,Drafted,4,9,18
165,Drafted,4,2,18
166,Drafted,4,27,18
167,Drafted,4,2,18
168,Drafted,4,1,18
169,Drafted,4,27,18
170,Drafted,3,31,18
171,Drafted,3,30,18
172,Drafted,3,30,18
173,Drafted,3,30,18
174,Drafted,4,27,18
175,Drafted,4,27,18
176,Drafted,4,27,18
177,Drafted,4,27,18
178,Drafted,3,29,18
179,Drafted,4,1,18
180,Drafted,3,30,18
181,Drafted,4,27,18
182,Drafted,3,29,18
183,Drafted,4,25,18
184,Drafted,4,25,18
185,Drafted,3,29,18
186,Drafted,3,29,18
187,Drafted,4,13,18
188,Drafted,4,26,18
189,Drafted,4,1,18
190,Drafted,3,29,18
191,Drafted,4,30,18
192,Volunteered,10,15,17
193,Drafted,4,1,18
194,Drafted,4,27,18
195,Drafted,3,30,18
196,Drafted,3,30,18
197,Drafted,4,27,18
198,Drafted,3,31,18
199,Drafted,3,28,18
200,Drafted,4,2,18
201,Drafted,3,29,18
202,Drafted,4,2,18
203,Drafted,4,25,18
204,Drafted,4,27,18
205,Drafted,3,27,18
206,Drafted,3,29,18
207,Drafted,3,29,18
208,Drafted,3,29,18
209,Drafted,4,27,18
210,Drafted,3,27,18
211,Drafted,4,1,18
212,Drafted,4,2,18
213,Drafted,3,29,18
214,Drafted,4,2,18
215,Drafted,4,1,18
216,Drafted,3,28,18
217,Drafted,3,28,18
218,Drafted,3,28,18
219,Drafted,3,29,18
220,Drafted,3,30,18
221,Drafted,4,2,18
222,Drafted,4,25,18
223,Drafted,4,26,18
224,Drafted,4,26,18
225,Drafted,4,26,18
226,Drafted,4,26,18
227,Drafted,4,27,18
228,Drafted,4,27,18
229,Drafted,3,27,18
230,Drafted,3,28,18
231,Drafted,3,29,18
232,Drafted,3,29,18
233,Drafted,3,29,18
234,Drafted,3,29,18
235,Drafted,3,29,18
236,Drafted,3,29,18
237,Drafted,3,31,18
238,Drafted,3,31,18
239,Drafted,4,1,18
240,Drafted,4,2,18
241,Drafted,4,25,18
242,Drafted,4,26,18
243,Drafted,4,27,18
244,Drafted,4,2,18
245,Drafted,3,29,18
246,Volunteered,1,2,18
247,Drafted,4,26,18
248,Drafted,4,27,18
249,Drafted,4,27,18
250,Drafted,4,17,18
251,Drafted,4,26,18
252,Drafted,4,25,18
253,Drafted,4,27,18
254,Drafted,4,27,18
255,Drafted,4,26,18
256,Drafted,4,27,18
257,Drafted,4,29,18
258,Drafted,4,26,18
259,Drafted,4,26,18
260,Drafted,4,27,18
261,Drafted,4,27,18
262,Drafted,4,16,18
263,Drafted,4,10,18
264,Volunteered,10,15,17
265,Drafted,3,29,18
266,Drafted,3,13,18
267,Drafted,2,24,18
268,Volunteered,8,27,17
269,Drafted,4,30,18
270,Volunteered,11,28,17
271,Regular Army,7,24,17
272,Drafted,4,30,18
273,Drafted,2,13,18
274,Drafted,3,28,18
275,Drafted,3,29,18
276,Drafted,3,29,18
277,Drafted,4,27,18
278,Drafted,4,25,18
279,Drafted,4,27,18
280,Drafted,4,27,18
281,Drafted,4,25,18
282,Drafted,4,27,18
283,Drafted,4,2,18
284,Drafted,4,26,18
285,Drafted,4,27,18
286,Drafted,4,1,18
287,Drafted,3,30,18
288,Drafted,3,30,18
289,Drafted,4,1,18
290,Drafted,4,25,18
291,Drafted,4,27,18
292,Drafted,4,27,18
293,Drafted,4,2,18
294,Drafted,4,27,18
295,Drafted,4,2,18
296,Drafted,3,30,18
297,Drafted,4,27,18
298,Drafted,4,26,18
299,Drafted,4,27,18
300,Drafted,6,10,18
301,Drafted,4,26,18
302,Drafted,3,30,18
303,Drafted,4,25,18
304,Drafted,3,30,18
305,Drafted,3,30,18
306,Drafted,4,1,18
307,Drafted,4,20,18
308,Drafted,4,27,18
309,Drafted,4,27,18
310,Drafted,4,27,18
311,Drafted,4,25,18
312,Drafted,4,25,18
313,Drafted,4,25,18
314,Drafted,4,25,18
315,Drafted,4,27,18
316,Drafted,4,26,18
317,Drafted,4,29,18
318,Drafted,4,27,18
319,Drafted,6,13,18
320,Drafted,5,4,18
321,Drafted,6,4,18
322,Drafted,5,4,18
323,Drafted,5,9,18
324,Drafted,5,18,18
325,Drafted,6,14,18
326,Drafted,6,17,18
327,Drafted,4,29,18
328,Drafted,3,28,18
329,Drafted,7,15,18
330,Drafted,4,29,18
