id,type,month,date,year
1,Regular Army,08,11,1913
2,Regular Army,08,11,1913
3,Regular Army,11,24,1913
4,Regular Army,03,12,1914
5,Regular Army,02,08,1915
6,Regular Army,06,30,1915
7,Volunteered,08,27,1917
8,Volunteered,09,19,1917
9,Volunteered,10,19,1917
10,Drafted,10,30,1917
11,Volunteered,11,17,1917
12,Drafted,11,30,1917
13,Drafted,11,30,1917
14,Drafted,12,04,1917
15,Drafted,12,11,1917
16,Drafted,12,14,1917
17,Drafted,12,22,1917
18,Drafted,12,24,1917
19,Volunteered,01,13,1918
20,Drafted,04,02,1918
21,Drafted,02,13,1918
22,Drafted,02,25,1918
23,Drafted,03,04,1918
24,Volunteered,03,06,1918
25,Drafted,03,07,1918
26,Drafted,03,14,1918
27,Drafted,03,27,1918
28,Drafted,03,27,1918
29,Drafted,03,28,1918
30,Drafted,03,28,1918
31,Drafted,03,28,1918
32,Drafted,03,28,1918
33,Drafted,03,29,1918
34,Drafted,03,29,1918
35,Drafted,03,29,1918
36,Drafted,03,29,1918
37,Drafted,03,29,1918
38,Drafted,03,29,1918
39,Drafted,03,29,1918
40,Drafted,03,29,1918
41,Drafted,03,29,1918
42,Drafted,03,29,1918
43,Drafted,03,29,1918
44,Drafted--Apprehended by Civil Authorities,03,29,1918
45,Drafted,03,29,1918
46,Drafted,03,29,1918
47,Drafted,03,29,1918
48,Drafted,03,29,1918
49,Drafted,03,29,1918
50,Drafted,03,29,1918
51,Drafted,03,29,1918
52,Drafted,03,29,1918
53,Drafted,03,29,1918
54,Drafted,03,29,1918
55,Drafted,03,29,1918
56,Drafted,03,29,1918
57,Drafted,03,29,1918
58,Drafted,03,29,1918
59,Drafted,03,29,1918
60,Drafted,03,29,1918
61,Drafted,03,29,1918
62,Drafted,03,30,1918
63,Drafted,03,30,1918
64,Drafted,03,30,1918
65,Drafted,03,30,1918
66,Drafted,03,30,1918
67,Drafted,03,30,1918
68,Drafted,03,30,1918
69,Drafted,03,30,1918
70,Drafted,03,30,1918
71,Drafted,03,30,1918
72,Drafted,03,30,1918
73,Drafted,03,30,1918
74,Drafted,03,31,1918
75,Drafted,03,31,1918
76,Drafted,03,31,1918
77,Drafted,03,31,1918
78,Drafted,04,01,1918
79,Drafted,04,01,1918
80,Drafted,04,01,1918
81,Drafted,04,01,1918
82,Drafted,09,13,1918
83,Drafted,04,01,1918
84,Drafted,04,01,1918
85,Drafted,04,01,1918
86,Drafted,04,01,1918
87,Drafted,04,01,1918
88,Drafted,04,01,1918
89,Drafted,04,01,1918
90,Drafted,04,01,1918
91,Drafted,04,02,1918
92,Drafted,04,02,1918
93,Drafted,04,02,1918
94,Drafted,04,02,1918
95,Drafted,04,02,1918
96,Drafted,04,02,1918
97,Drafted,04,02,1918
98,Drafted,04,02,1918
99,Drafted,04,02,1918
100,Drafted,04,02,1918
101,Drafted,04,02,1918
102,Drafted,04,02,1918
103,Drafted,04,02,1918
104,Drafted,04,02,1918
105,Drafted,04,02,1918
106,Drafted,04,05,1918
107,Drafted,04,10,1918
108,Drafted,04,16,1918
109,Drafted,04,19,1918
110,Drafted,04,20,1918
111,Drafted,04,22,1918
112,Drafted,04,23,1918
113,Drafted,04,25,1918
114,Drafted,04,25,1918
115,Drafted,04,25,1918
116,Drafted,04,25,1918
117,Drafted,04,25,1918
118,Drafted,04,25,1918
119,Drafted,04,26,1918
