Black Soldiers Mattered--Hudson--Unit names and descriptive information																																				
																																				
Unique Unit ID	Service Location	Broad Type of Unit	Type of Unit	Combat Division	Combat Brigade & Field Artillery	Camp Organized	When Unit Organized	Location * This will be available on the reference spreadsheet	Unit Location changed	When Unit change camps	Port of Embarkation	When Unit Embarked	Where Unit Served--SOS	"Where Unit Served--""Army"" troops"	Description of Unit Responsibilities	Unusual Unit Experiences	Demobilized When	Demobilized Where	Interpretive Assistance**for me	Companies																
Combat Soldiers																			Combat Soldiers																	
183 Inf Brig	France	Combat--92nd Division	Infantry Brigade	92nd Division	183 Infantry Brigade	Camp Grant	1917-11		Camp Upton	1918-05	Hoboken	1918-06					1919-03	Camp Upton																		
365 Inf	France	Combat--92nd Division	Infantry Regiment	92nd Division	183 Infantry Brigade	Camp Grant	1917-10		Camp Upton	1918-06	Hoboken	1918-06					1919-03	Camp Upton		"A, B, C, D, E, F, G, H, I, K, L, M, Med Det, Hq, Sup Co, MG"																
366 Inf	France	Combat--92nd Division	Infantry Regiment	92nd Division	183 Infantry Brigade	Camp Dodge	1917-11		Camp Upton	1918-06	Hoboken	1918-06					1919-03	Camp Oglethorpe via Camp Upton		"E, F, H, I, K, L, M, Sup Co."																
367 Inf	France	Combat--92nd Division	Infantry Regiment	92nd Division	184 Infantry Brigade	Camp Upton	1917-11				Hoboken	1918-06					1919-03	Camp Meade via Camp Upton		"B, F"																
368 Inf	France	Combat--92nd Division	Infantry Regiment	92nd Division	184 Infantry Brigade	Camp Meade	1917-10				Hoboken	1918-06					1919-03	Camp Meade via Camp Upton		"B, Hq"																
350 MG Bn	France	Combat--92nd Division	Machine Gun Battalion	92nd Division	184 Infantry Brigade	Camp Grant	1917-11		Camp Upton	1918-06	Hoboken	1918-06					1919-03	Camp Upton		"A, B, C, Hq, Hq Det"																
351 MG Bn	France	Combat--92nd Division	Machine Gun Battalion	92nd Division	184 Infantry Brigade	Camp Upton	1917-11				Hoboken	1918-06					1919-03	Camp Meade via Camp Upton		C																
167 FA	France	Combat--92nd Division	Field Artillery Brigade	92nd Division	167 Field Artillery	Camp Dix	1917-11				Hoboken	1918-06					1919-03	Camp Meade via Camp Mills																		
349 FA	France	Combat--92nd Division	Field Artillary Regiment	92nd Division	167 Field Artillery	Camp Dix	1917-11		Camp Upton	1918-03	Hoboken	1918-06				Detached from arrival in FR to Oct 1918 at Montmorillon and La Courtine	1919-03	Camp Dix via Camp Upton		"Battery B, C, D"																
350 FA	France	Combat--92nd Division	Field Artillary Regiment	92nd Division	167 Field Artillery	Camp Dix	1917-11		Camp Mills	1918-06	Hoboken	1918-06				Detached from arrival in FR to Oct 1918 at Montmorillon and La Courtine	1919-03	Camp Dix via Camp Upton		"Battery A, B, C, Sup Co."																
351 FA	France	Combat--92nd Division	Field Artillary Regiment	92nd Division	167 Field Artillery	Camp Meade	1917-10				Hoboken	1918-06				Detached from arrival in FR to Oct 1918 at Montmorillon and La Courtine	1919-03	Camp Meade via Camp Mills		Battery F																
325 F Sig Bn	France	Combat--92nd Division	Field Signal Battalion	92nd Division	167 Field Artillery	Camp Sherman	1917-12		Camp Upton	1918-05	Hoboken	1918-06				"Detached from Sept 26-Oct 5, 1918 with I Corps and FR 38 Corps, reserve, in Meuse-Argonne Operation"	1919-03	Camp Meade via Camp Merritt		"A, C"																
317 Mob Ord Rep Sh	France	Combat--92nd Division	Mobile Ordnance Repair Shop	92nd Division	167 Field Artillery	Camp Funston	1917-12				Hoboken	1918-06					1919-03	no indication																		
317 Sn Tn	France	Combat--92nd Division	"Sanitary Train, Field Hospital and Ambulance Companies"	92nd Division	167 Field Artillery	Camp Funston	1917-11				Hoboken	1918-06				"Detached from Sept 26-Oct 5, 1918 with I Corps and FR 38 Corps, reserve, in Meuse-Argonne Operation"	1919-03	Camp Taylor via Camp Upton		"Amb Co 368, Hosp 367"																
317 Sup Tn	France	Combat--92nd Division	Supply Train	92nd Division	167 Field Artillery	Camp Funston	1917-12		Camp Upton	1918-06	Hoboken	1918-06				"Detached from Sept 26-Oct 5, 1918 with I Corps and FR 38 Corps, reserve, in Meuse-Argonne Operation"	1919-03	Camp Taylor via Camp Upton		F																
317 Am Tn	France	Combat--92nd Division	Ammunition Train	92nd Division	167 Field Artillery	Camp Funston	1917-11		Camp Upton	1918-06	Hoboken	1918-06					1919-03	Camp Taylor via Camp Upton		D																
317 Engrs	France	Combat--92nd Division	Engineer	92nd Division	167 Field Artillery	Camp Sherman	1917-10				Hoboken	1918-06				"Detached from Sept 26-Nov 11, 1918 with I Corps, reserve, in Meuse-Argonne Operation"	1919-03	Camp Sherman via Camp Alexander		A																
317 TM Btry	France	Combat--92nd Division	Trench Mortar Battery	92nd Division	167 Field Artillery	Camp Dix	1918-05				Hoboken	1918-06					1919-03	Camp Shelby via Camp Upton																		
317 Tn Hq & MP	France	Combat--92nd Division	Headquarters Trains and Military Police	92nd Division	167 Field Artillery	Camp Funston	1917-11		Camp Upton	1918-06	Hoboken	1918-06					1919-03	Camp Upton		Ord Det																
Hq Tr 92 Div	France	Combat--92nd Division	Headquarters Toops	92nd Division		Camp Funston	1917-12		Camp Upton	1918-05	Hoboken	1918-06					1919-03	Camp Meade via Camp Upton																		
369 Inf	France	Combat--93rd Division	Infantry Regiment	93rd Division		Camp Merritt	1917-11				Hoboken	1917-12					1919-02	Camp Upton		"D, I, K"																
370 Inf	France	Combat--93rd Division	Infantry Regiment	93rd Division		Camp Logan	1917-12		Camp Stuart	1918-03	Newport News	1918-04					1919-03	Camp Grant via Camp Upton		"A, B, D, K, Hq"																
371 Inf	France	Combat--93rd Division	Infantry Regiment	93rd Division		Camp Jackson	1917-12				Newport News	1918-04					1919-02	Camp Jackson via Camp Upton		"A, B, D, E, F, G, H, L, M, Hq, MG, Sup Co."																
372 Inf	France	Combat--93rd Division	Infantry Regiment	93rd Division		Camp Stuart	1918-01				Newport News	1918-03					1919-03	Camp Sherman via Camp Upton		"E, Hq"																
Engineer Service Battalion 																			Engineer Service Battalion 																	
506 Engrs Serv Bn	France	Engineer Service Battalion	Engineer Service Battalion			Camp Lee	1917-10				Hoboken	1918-01	YES				1919-06	Camp Meade via Camp Merritt		B																
513 Engrs Serv Bn	France	Engineer Service Battalion	Engineer Service Battalion			Camp Travis	1918-01		Camp Stuart	1918-03	Newport News	1918-04	NO	YES			1919-06	Camp Bowie via Camp Upton		A																
514 Engrs Serv Bn	France	Engineer Service Battalion	Engineer Service Battalion			Camp Gordon	1918-02				Newport News	1918-04	YES				1919-06	Camp Gordon via Camp Upton		C																
520 Engrs Serv Bn	France	Engineer Service Battalion	Engineer Service Battalion			Camp Devens	1918-04		Camp Humphreys	1918-06	Hoboken	1918-08	YES				1919-07	Camp Sherman via Camp Alexander		"A, C, D"																
528 Engrs Serv Bn	France	Engineer Service Battalion	Engineer Service Battalion			Camp Dodge	1918-04				Hoboken	1918-07	NO	YES			1919-06	Camp Gordon via Camp Upton																		
